id,total_inflow,total_outflow,net_flow,inflow_2006,outflow_2006,net_flow_2006,inflow_2007,outflow_2007,net_flow_2007,inflow_2008,outflow_2008,net_flow_2008,inflow_2009,outflow_2009,net_flow_2009,inflow_2010,outflow_2010,net_flow_2010,inflow_2011,outflow_2011,net_flow_2011,inflow_2012,outflow_2012,net_flow_2012,inflow_2013,outflow_2013,net_flow_2013,inflow_2014,outflow_2014,net_flow_2014,inflow_2015,outflow_2015,net_flow_2015
6095,319968.91,47205.51,272763.4,0,44703,-44703,0,0,0,230387,0,230387,21072.08,379.65,20692.43,1621.2,0,1621.2,6655,-12887,19542,60233.63,-115027.32,175260.95,0,130037.18,-130037.18,0,0,0,0,0,0
6097,818174.11,302783.85,515390.26,15285,0,15285,76838,224583,-147745,16928.9,0,16928.9,14182.28,0,14182.28,400032.39,0,400032.39,174650,0,174650,136475.65,0,136475.65,-16218.11,78200.85,-94418.96,0,0,0,0,0,0
6099,112633.12,11715822.24,-11603189.12,0,0,0,25561.74,92476,-66914.26,23314.04,0,23314.04,37516.64,4731483.07,-4693966.43,26240.7,4174893.5,-4148652.8,0,2716969.67,-2716969.67,0,0,0,0,0,0,0,0,0,0,0,0
6111,5332617.95,150564680.8,-145232062.8,703022,19491246.95,-18788224.95,178007.27,10825273.84,-10647266.57,107133.59,422518.03,-315384.44,107395.05,14935889.68,-14828494.63,299966.05,31810211.76,-31510245.71,740712.55,23457526.17,-22716813.62,806072.54,19205132.44,-18399059.9,2390308.9,30416881.92,-28026573.02,0,0,0,0,0,0
6113,21495.22,4540.32,16954.9,0,0,0,3648,0,3648,5832,0,5832,1330,0,1330,0,4540.32,-4540.32,0,0,0,0,0,0,10685.22,0,10685.22,0,0,0,0,0,0
8001,526051.62,2236439.32,-1710387.7,0,0,0,404500,15942,388558,20736,0,20736,29843.4,642459.33,-612615.93,55300,283977.85,-228677.85,15149.5,412216.05,-397066.55,0,762453.94,-762453.94,522.72,119390.15,-118867.43,0,0,0,0,0,0
8005,68986539.4,1433174.68,67553364.72,1880222.04,0,1880222.04,8176486.4,573900,7602586.4,11609811.59,0,11609811.59,6893827.85,445052,6448775.85,5328803.61,390202,4938601.61,6957510.95,9904.4,6947606.55,18343111.54,17748.28,18325363.26,9796765.42,-3632,9800397.42,0,0,0,0,0,0
8013,7437329.92,327857,7109472.92,362084,0,362084,4583859.48,0,4583859.48,1033786.78,0,1033786.78,470927.08,9014.72,461912.36,473654.76,-333.12,473987.88,125159.77,0,125159.77,285198.59,121483.4,163715.19,102659.46,197692,-95032.54,0,0,0,0,0,0
8031,4740215.89,64999.7,4675216.19,28104,0,28104,1843595,6420,1837175,52191.36,0,52191.36,274509.35,15225,259284.35,1324958.91,22716.2,1302242.71,624578.78,11187.24,613391.54,812316.92,0,812316.92,-220038.43,9451.26,-229489.69,0,0,0,0,0,0
8041,99670770.66,31966645.16,67704125.5,347612,4262410,-3914798,14946619,1093878,13852741,53175369.17,14005,53161364.17,9211220.91,7197069.66,2014151.25,16904835.14,1867206.44,15037628.7,1881779.49,4039044.26,-2157264.77,1233538.59,4661484.78,-3427946.19,1969796.36,8831547.02,-6861750.66,0,0,0,0,0,0
8059,15251529.53,18365.88,15233163.65,924075,0,924075,491912.49,0,491912.49,1215364.07,0,1215364.07,4356834.47,18365.88,4338468.59,2380104.2,0,2380104.2,2496609.37,0,2496609.37,1175017.13,0,1175017.13,2211612.8,0,2211612.8,0,0,0,0,0,0
9001,26858303.17,18619386.66,8238916.51,81378,6600,74778,1196839.81,64104,1132735.81,2227338.13,24724,2202614.13,2016706.02,32200,1984506.02,1055747.74,42054.73,1013693.01,909608.01,2765987.26,-1856379.25,1713766.96,3444940.18,-1731173.22,1509857.65,7070688.74,-5560831.09,9715482.67,3793967.35,5921515.32,6431578.18,1374120.4,5057457.78
9003,1710038.94,489833.93,1220205.01,84764.33,0,84764.33,725792.08,0,725792.08,210296.08,3644,206652.08,51865.25,36657.48,15207.77,7860.84,149769.9,-141909.06,57304.61,97073.88,-39769.27,359201.1,58575.87,300625.23,88236.79,13959.6,74277.19,40143.57,130153.2,-90009.63,84574.29,0,84574.29
9005,68375,947613.39,-879238.39,0,0,0,10960,124184,-113224,16481,28506,-12025,0,0,0,0,726199.62,-726199.62,40934,52955.77,-12021.77,0,5604,-5604,0,5604,-5604,0,4560,-4560,0,0,0
9007,2793508.24,85747.66,2707760.58,2502,0,2502,33600,0,33600,53895.4,0,53895.4,453747.92,0,453747.92,97595,0,97595,599001.58,71725.96,527275.62,270159.34,14021.7,256137.64,1039559,0,1039559,173348,0,173348,70100,0,70100
9009,52024636.01,86862,51937774.01,528178.5,0,528178.5,1455141,66924,1388217,4208226.5,0,4208226.5,320170.37,0,320170.37,5604304.19,3738,5600566.19,33255004.65,0,33255004.65,4707571.81,0,4707571.81,1754232.53,16200,1738032.53,191806.46,0,191806.46,0,0,0
9011,92188588.38,78956263.68,13232324.7,9932.1,5253724.71,-5243792.61,55051507.42,6683319,48368188.42,5112607.11,620490.52,4492116.59,1034842.57,6164895.96,-5130053.39,1115894.86,7243131.5,-6127236.64,33172769.73,12980017.62,20192752.11,-3280455.32,13459140.7,-16739596.02,-173584.77,13087100.53,-13260685.3,472492.68,9664692.75,-9192200.07,-327418,3799750.39,-4127168.39
10001,-44187,14246748.2,-14290935.2,0,0,0,74791,84504,-9713,-60803,0,-60803,0,785018.39,-785018.39,0,10572192.5,-10572192.5,0,1086546.75,-1086546.75,0,2142174.24,-2142174.24,-58175,1078493,-1136668,0,-1738118.68,1738118.68,0,235938,-235938
10003,5177299.47,6850646.05,-1673346.58,40658,193152,-152494,574587.79,300000,274587.79,983391.58,0,983391.58,637411.36,0,637411.36,663457.85,1900416,-1236958.15,587783.34,3259693.4,-2671910.06,790602.62,0,790602.62,464794.96,1188755.4,-723960.44,304168.19,8629.25,295538.94,130443.78,0,130443.78
10005,29720.85,6766096.27,-6736375.42,6621,0,6621,2229,0,2229,0,0,0,0,0,0,5981.6,0,5981.6,14889.25,3231250,-3216360.75,0,114805.71,-114805.71,0,3261408,-3261408,0,158632.56,-158632.56,0,0,0
11001,223442835.3,573961156.3,-350518321,5146852,7790289,-2643437,70259232.21,7270128.3,62989103.91,16797835.79,1648755.21,15149080.58,69082779.57,104120946.5,-35038166.94,-30064827.17,70189866.37,-100254693.5,13789897.34,87703496.53,-73913599.19,22950366.6,104468675.3,-81518308.71,21683850.16,91518784.19,-69834934.03,29516075.99,99365539.42,-69849463.43,4280772.79,-115324.52,4396097.31
12005,3914745.23,53193754.6,-49279009.37,0,4263562,-4263562,4300,12042059.62,-12037759.62,0,107996.68,-107996.68,4720,8769159.34,-8764439.34,83317.55,3544210.94,-3460893.39,769609.7,3186560.92,-2416951.22,1905635.99,9179388.52,-7273752.53,1105161.99,3102623.24,-1997461.25,0,8568996.45,-8568996.45,42000,429196.89,-387196.89
12007,15990,42000,-26010,0,0,0,11340,0,11340,3120,0,3120,1530,0,1530,0,0,0,0,0,0,0,0,0,0,0,0,0,42000,-42000,0,0,0
12009,30258065.67,28411184.84,1846880.83,36583,360336.2,-323753.2,3810106.72,884993,2925113.72,3693056.33,65325,3627731.33,4110415.43,1273268.27,2837147.16,5470666.04,8335933.15,-2865267.11,11466933.23,3893012.64,7573920.59,4508109.74,8142668.19,-3634558.45,-2837804.82,5455648.39,-8293453.21,0,0,0,0,0,0
12011,21125104.18,1358631.06,19766473.12,99489.72,0,99489.72,993904.57,0,993904.57,1279257.17,0,1279257.17,7805733.87,513069,7292664.87,5686226.64,0,5686226.64,1561681.97,0,1561681.97,1198152.19,845562.06,352590.13,2500658.05,0,2500658.05,0,0,0,0,0,0
12019,7279.5,6361355.04,-6354075.54,0,0,0,0,69403,-69403,0,10662.72,-10662.72,0,-1812.6,1812.6,0,-39481.72,39481.72,0,953449.48,-953449.48,0,497850,-497850,0,1729253.71,-1729253.71,7279.5,3142030.45,-3134750.95,0,0,0
12031,529171500.2,391666916.3,137504583.9,10665595.08,20189324.68,-9523729.6,52608736.95,26933951.64,25674785.31,80832309.12,2877758.38,77954550.74,66585364.41,83768804.82,-17183440.41,78210055.16,77547811.03,662244.13,88036811.7,43695636.51,44341175.19,48074725.18,40230937.18,7843788,44509817.32,33326613.59,11183203.73,55366521.78,59794056.32,-4427534.54,4281563.47,3302022.15,979541.32
12033,19438432.36,21805727.07,-2367294.71,0,438215.56,-438215.56,36490,2524506.16,-2488016.16,98965.06,281796.48,-182831.42,2956069.49,5191745.67,-2235676.18,2616070.62,4164068.88,-1547998.26,569327.77,5328624.33,-4759296.56,866086.7,963381.55,-97294.85,708620.2,2091939.21,-1383319.01,11586802.52,819987.03,10766815.49,0,1462.2,-1462.2
12055,187537.56,471114.65,-283577.09,0,0,0,0,0,0,0,0,0,0,0,0,187537.56,0,187537.56,0,0,0,0,471114.65,-471114.65,0,0,0,0,0,0,0,0,0
12057,85353506.97,13418664.89,71934842.08,155121,0,155121,3181320,106805,3074515,9419159.5,0,9419159.5,1610035.5,200547.61,1409487.89,1698922.42,1589037.76,109884.66,217327.67,4859213.74,-4641886.07,67553262.06,2973862.8,64579399.26,1518358.82,3689197.98,-2170839.16,0,0,0,0,0,0
12073,4201315.44,12745.83,4188569.61,0,0,0,2898380,0,2898380,681434.52,0,681434.52,564131.77,0,564131.77,3366.18,0,3366.18,0,0,0,0,0,0,0,0,0,54002.97,12745.83,41257.14,0,0,0
12086,15173913.36,1682866.34,13491047.02,148165,30028,118137,1257987.53,37034,1220953.53,1504482.71,0,1504482.71,574325.97,216960,357365.97,5777901.67,219407.95,5558493.72,2919173.61,454451.43,2464722.18,3157366.49,288663.8,2868702.69,-165489.62,436321.16,-601810.78,0,0,0,0,0,0
12087,4860,3104480.43,-3099620.43,0,7678,-7678,0,63163,-63163,0,-8163,8163,4860,236388.17,-231528.17,0,1345595.66,-1345595.66,0,795507.3,-795507.3,0,390819.6,-390819.6,0,273491.7,-273491.7,0,0,0,0,0,0
12089,2750,11246.48,-8496.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2750,11246.48,-8496.48,0,0,0,0,0,0,0,0,0,0,0,0
12091,40937265.96,75857479.52,-34920213.56,2591332,0,2591332,2230425.18,34281,2196144.18,4091911.13,185182.59,3906728.54,2471933.71,31257636.75,-28785703.04,1010729.87,21236835.43,-20226105.56,588173.9,7668349.37,-7080175.47,10953840.85,1260566.57,9693274.28,8807684.24,7918584.19,889100.05,8193050.84,2301043.59,5892007.25,-1815.76,3995000.03,-3996815.79
12095,72986584.9,3709906.2,69276678.7,2737578,166260,2571318,2011380.07,349242,1662138.07,661518.16,40978,620540.16,2039002.97,13390.96,2025612.01,17081662.2,525222.33,16556439.87,889565.58,630726.57,258839.01,23117490.49,687107.98,22430382.51,24448387.43,1296978.36,23151409.07,0,0,0,0,0,0
12099,18208322.87,20890.56,18187432.31,137731,0,137731,482291.54,6799,475492.54,6006665.42,0,6006665.42,5251276.64,12291.56,5238985.08,3955536.69,0,3955536.69,644761.87,0,644761.87,600608.08,1800,598808.08,1129451.63,0,1129451.63,0,0,0,0,0,0
12103,14132812.92,36216949.2,-22084136.28,3402183.9,0,3402183.9,3930820.17,8908,3921912.17,4938356.44,-112462,5050818.44,441492.25,3340457,-2898964.75,626351.47,942760.4,-316408.93,462387.2,31539350,-31076962.8,215287.11,339831,-124543.89,115934.38,158104.8,-42170.42,0,0,0,0,0,0
12109,1960367.81,1882325,78042.81,0,0,0,151699,0,151699,88310,0,88310,46269.29,0,46269.29,0,0,0,9318.4,1725245,-1715926.6,495841.02,149935.5,345905.52,367892.3,0,367892.3,801037.8,7144.5,793893.3,0,0,0
12113,21120,6441408.29,-6420288.29,0,0,0,0,84818.24,-84818.24,0,0,0,6000,1442268.82,-1436268.82,15120,2008587.64,-1993467.64,0,2134252.83,-2134252.83,0,935248.41,-935248.41,0,-128476.32,128476.32,0,-35291.33,35291.33,0,0,0
12127,493540.88,26197.09,467343.79,0,0,0,135526.16,32555.84,102970.32,66203,0,66203,71785.72,-12016.59,83802.31,78208,0,78208,71226,0,71226,66392,5657.84,60734.16,4200,0,4200,0,0,0,0,0,0
13015,0,512584.3,-512584.3,0,0,0,0,0,0,0,0,0,0,0,0,0,512584.3,-512584.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13021,11852,0,11852,0,0,0,6862,0,6862,15430,0,15430,-10440,0,-10440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13025,4589648.52,96303.25,4493345.27,0,0,0,345000,0,345000,790000,0,790000,2058919.79,106098.96,1952820.83,1395728.73,0,1395728.73,0,0,0,0,0,0,0,0,0,0,-9795.71,9795.71,0,0,0
13031,9473681.33,6008.53,9467672.8,0,0,0,0,0,0,9026456,0,9026456,0,0,0,447225.33,0,447225.33,0,0,0,0,6008.53,-6008.53,0,0,0,0,0,0,0,0,0
13039,4200,30668381.76,-30664181.76,0,0,0,0,1546445.18,-1546445.18,0,-12638.03,12638.03,0,2761961.35,-2761961.35,0,4089374.84,-4089374.84,4200,2765972.27,-2761772.27,0,1242940.68,-1242940.68,0,11335792.97,-11335792.97,0,6936861.91,-6936861.91,0,1670.59,-1670.59
13045,21728.75,1450.32,20278.43,0,0,0,0,0,0,0,0,0,13000,0,13000,0,0,0,0,0,0,0,0,0,0,0,0,8728.75,1450.32,7278.43,0,0,0
13051,3368464.11,7920539.05,-4552074.94,3231,89654,-86423,20275,242476.82,-222201.82,62645,0,62645,30837,1921675.27,-1890838.27,49230.37,707968.56,-658738.19,2734257.34,741213.51,1993043.83,265062.4,24684.24,240378.16,82400,673690.93,-591290.93,81967,3519175.72,-3437208.72,38559,0,38559
13057,624056.13,0,624056.13,0,0,0,0,0,0,52781,0,52781,31299.48,0,31299.48,257165.7,0,257165.7,14570.06,0,14570.06,18882.46,0,18882.46,227835.21,0,227835.21,21522.22,0,21522.22,0,0,0
13059,4856265.66,1006786.59,3849479.07,0,0,0,0,255782.74,-255782.74,3090,49315.08,-46225.08,0,259030.93,-259030.93,2495380.5,463519.32,2031861.18,823452.16,24394.21,799057.95,705339.72,-35675.02,741014.74,425229.68,-9580.67,434810.35,403773.6,0,403773.6,0,0,0
13063,342025.35,89601.32,252424.03,0,32675,-32675,15000,3820.99,11179.01,0,0,0,0,2480.95,-2480.95,0,12715,-12715,14850,13592.38,1257.62,0,0,0,84588.28,0,84588.28,227587.07,18429.1,209157.97,0,5887.9,-5887.9
13067,1704617.89,475589.73,1229028.16,105480,0,105480,250671.64,241451.82,9219.82,201941,171906.7,30034.3,228778.01,-24195.2,252973.21,315600.92,45286.52,270314.4,129989.07,27175.49,102813.58,101684.98,0,101684.98,270297.04,3597.08,266699.96,65862.09,10354.07,55508.02,34313.14,13.25,34299.89
13089,6918776.21,287801.04,6630975.17,282248,0,282248,1369074,41069,1328005,940984.72,0,940984.72,2024248.11,242107.04,1782141.07,573718.58,0,573718.58,622237.82,0,622237.82,75347.14,0,75347.14,158926.38,4625,154301.38,864264.06,0,864264.06,7727.4,0,7727.4
13095,13056.76,17390948.54,-17377891.78,0,60,-60,9900,327527.98,-317627.98,619,500,119,618.96,2319964.74,-2319345.78,0,8256225.02,-8256225.02,0,4021710.35,-4021710.35,0,778294.19,-778294.19,0,1344454.56,-1344454.56,1918.8,342211.7,-340292.9,0,0,0
13105,6590,67421.87,-60831.87,0,3653,-3653,6590,0,6590,0,0,0,0,2968.16,-2968.16,0,0,0,0,0,0,0,32039.7,-32039.7,0,1416.01,-1416.01,0,27345,-27345,0,0,0
13121,325419598.7,40141549.34,285278049.4,45420450.23,10358740,35061710.23,26208202.73,3212946,22995256.73,18616023.29,4500.03,18611523.26,62355123.79,2719613.86,59635509.93,23057672.37,2372171.94,20685500.43,32929788.37,2984276.68,29945511.69,8204065.53,6891263.98,1312801.55,77867026.47,7323109.05,70543917.42,28157276.04,4248569.63,23908706.41,2603969.9,26358.17,2577611.73
13127,2548805.9,1042763.97,1506041.93,0,0,0,0,0,0,903712,0,903712,8077,45271.85,-37194.85,0,386582.48,-386582.48,0,31692.51,-31692.51,3567,132280.9,-128713.9,17400,-8911.03,26311.03,1548549.9,455847.26,1092702.64,67500,0,67500
13135,10426043.43,673092.25,9752951.18,150238,0,150238,1539724.18,72995,1466729.18,1409457.18,9280,1400177.18,868919.81,29462.85,839456.96,1717439.62,0,1717439.62,1429967.75,312594.4,1117373.35,1059236.17,220980,838256.17,901482.6,27780,873702.6,1287609.49,0,1287609.49,61968.63,0,61968.63
13153,13504229.42,24485700.19,-10981470.77,0,830000,-830000,0,1078223,-1078223,0,74097.22,-74097.22,0,8180642.62,-8180642.62,0,8657890.19,-8657890.19,2872333.27,760997.81,2111335.46,3139079.56,2376832.14,762247.42,3367991.42,1672722.35,1695269.07,4124825.17,848047.86,3276777.31,0,6247,-6247
13179,7381.21,30612494.09,-30605112.88,0,91983,-91983,0,2393967,-2393967,0,1103863,-1103863,0,5871226.61,-5871226.61,0,6175164.68,-6175164.68,0,5911126.46,-5911126.46,0,3218910.39,-3218910.39,7381.21,2225712.75,-2218331.54,0,3620540.2,-3620540.2,0,0,0
13185,72282.49,4022089.72,-3949807.23,0,661537,-661537,0,718825,-718825,0,0,0,0,374613.5,-374613.5,0,0,0,0,0,0,68359.04,771518.8,-703159.76,0,883768.1,-883768.1,3923.45,495355.52,-491432.07,0,116471.8,-116471.8
